============================================================
TS-CVA Forecasting Training
============================================================
Dataset: tech
Run directory: training/tech__crossmodal_200ep_20251203_104547_20251203_104554
============================================================

Loading Yahoo Finance data...
X_train: (78, 24, 10), y_train: (78, 8, 10)
X_val: (11, 24, 10), y_val: (11, 8, 10)
X_test: (23, 24, 10), y_test: (23, 8, 10)

Sequence length: 24, Prediction length: 8, Features: 10

Loading LLM embeddings from datasets/yahoo_finance/tech/llm_embeddings.npz...
Train LLM embeddings: (78, 128, 768)
Val LLM embeddings: (11, 128, 768)

Training TS-CVA representations...
[NEW BEST] Epoch #0: train_loss=6.988401, val_loss=6.988401, time=0.92s, remaining=3.05min
[NEW BEST] Epoch #1: train_loss=6.272708, val_loss=6.272708, time=0.25s, remaining=1.92min
[NEW BEST] Epoch #2: train_loss=4.769025, val_loss=4.769025, time=0.32s, remaining=1.62min
[NEW BEST] Epoch #3: train_loss=4.531065, val_loss=4.531065, time=0.35s, remaining=1.49min
[NEW BEST] Epoch #4: train_loss=4.441203, val_loss=4.441203, time=0.24s, remaining=1.34min
[NEW BEST] Epoch #5: train_loss=3.706703, val_loss=3.706703, time=0.35s, remaining=1.30min
[NEW BEST] Epoch #6: train_loss=3.411747, val_loss=3.411747, time=0.39s, remaining=1.29min
[NEW BEST] Epoch #7: train_loss=3.327932, val_loss=3.327932, time=0.31s, remaining=1.24min
Epoch #8: train_loss=3.368404, val_loss=3.368404, time=0.29s, remaining=1.20min
[NEW BEST] Epoch #9: train_loss=3.227373, val_loss=3.227373, time=0.35s, remaining=1.19min
[NEW BEST] Epoch #10: train_loss=2.981160, val_loss=2.981160, time=0.35s, remaining=1.00min
Epoch #11: train_loss=3.020553, val_loss=3.020553, time=0.23s, remaining=0.99min
Epoch #12: train_loss=3.015158, val_loss=3.015158, time=0.19s, remaining=0.95min
[NEW BEST] Epoch #13: train_loss=2.795266, val_loss=2.795266, time=0.24s, remaining=0.91min
Epoch #14: train_loss=2.795854, val_loss=2.795854, time=0.24s, remaining=0.90min
[NEW BEST] Epoch #15: train_loss=2.752310, val_loss=2.752310, time=0.21s, remaining=0.85min
[NEW BEST] Epoch #16: train_loss=2.749591, val_loss=2.749591, time=0.23s, remaining=0.80min
[NEW BEST] Epoch #17: train_loss=2.720178, val_loss=2.720178, time=0.20s, remaining=0.76min
[NEW BEST] Epoch #18: train_loss=2.642954, val_loss=2.642954, time=0.21s, remaining=0.74min
Epoch #19: train_loss=2.669425, val_loss=2.669425, time=0.21s, remaining=0.69min
[NEW BEST] Epoch #20: train_loss=2.628065, val_loss=2.628065, time=0.21s, remaining=0.64min
[NEW BEST] Epoch #21: train_loss=2.550775, val_loss=2.550775, time=0.19s, remaining=0.63min
Epoch #22: train_loss=2.613274, val_loss=2.613274, time=0.19s, remaining=0.63min
