============================================================
TS-CVA Forecasting Training
============================================================
Dataset: tech
Run directory: training/tech__crossmodal_news_200ep_20251203_104547_20251203_104554
============================================================

Loading Yahoo Finance data...
X_train: (78, 24, 10), y_train: (78, 8, 10)
X_val: (11, 24, 10), y_val: (11, 8, 10)
X_test: (23, 24, 10), y_test: (23, 8, 10)

Sequence length: 24, Prediction length: 8, Features: 10

Loading LLM embeddings from datasets/yahoo_finance/tech/news_embeddings.npz...
Train LLM embeddings: (78, 128, 768)
Val LLM embeddings: (11, 128, 768)

Training TS-CVA representations...
[NEW BEST] Epoch #0: train_loss=6.752720, val_loss=6.752720, time=0.94s, remaining=3.10min
[NEW BEST] Epoch #1: train_loss=6.080855, val_loss=6.080855, time=0.25s, remaining=1.95min
[NEW BEST] Epoch #2: train_loss=4.609010, val_loss=4.609010, time=0.32s, remaining=1.65min
[NEW BEST] Epoch #3: train_loss=4.423205, val_loss=4.423205, time=0.31s, remaining=1.49min
[NEW BEST] Epoch #4: train_loss=4.367637, val_loss=4.367637, time=0.27s, remaining=1.36min
[NEW BEST] Epoch #5: train_loss=3.684031, val_loss=3.684031, time=0.40s, remaining=1.34min
[NEW BEST] Epoch #6: train_loss=3.366852, val_loss=3.366852, time=0.41s, remaining=1.33min
[NEW BEST] Epoch #7: train_loss=3.297577, val_loss=3.297577, time=0.23s, remaining=1.25min
Epoch #8: train_loss=3.337237, val_loss=3.337237, time=0.28s, remaining=1.20min
[NEW BEST] Epoch #9: train_loss=3.201820, val_loss=3.201820, time=0.30s, remaining=1.17min
[NEW BEST] Epoch #10: train_loss=2.969418, val_loss=2.969418, time=0.42s, remaining=1.00min
Epoch #11: train_loss=3.000402, val_loss=3.000402, time=0.22s, remaining=0.99min
Epoch #12: train_loss=2.986018, val_loss=2.986018, time=0.18s, remaining=0.94min
[NEW BEST] Epoch #13: train_loss=2.758792, val_loss=2.758792, time=0.25s, remaining=0.92min
[NEW BEST] Epoch #14: train_loss=2.726553, val_loss=2.726553, time=0.24s, remaining=0.90min
[NEW BEST] Epoch #15: train_loss=2.668487, val_loss=2.668487, time=0.22s, remaining=0.84min
[NEW BEST] Epoch #16: train_loss=2.658300, val_loss=2.658300, time=0.24s, remaining=0.79min
[NEW BEST] Epoch #17: train_loss=2.617468, val_loss=2.617468, time=0.21s, remaining=0.78min
[NEW BEST] Epoch #18: train_loss=2.499570, val_loss=2.499570, time=0.19s, remaining=0.75min
Epoch #19: train_loss=2.504576, val_loss=2.504576, time=0.21s, remaining=0.71min
Epoch #20: train_loss=2.501089, val_loss=2.501089, time=0.20s, remaining=0.64min
[NEW BEST] Epoch #21: train_loss=2.412892, val_loss=2.412892, time=0.18s, remaining=0.63min
Epoch #22: train_loss=2.464620, val_loss=2.464620, time=0.19s, remaining=0.63min
Epoch #23: train_loss=2.429564, val_loss=2.429564, time=0.19s, remaining=0.61min
Epoch #24: train_loss=2.465886, val_loss=2.465886, time=0.19s, remaining=0.59min
[NEW BEST] Epoch #25: train_loss=2.373585, val_loss=2.373585, time=0.17s, remaining=0.57min
Epoch #26: train_loss=2.401660, val_loss=2.401660, time=0.20s, remaining=0.55min
[NEW BEST] Epoch #27: train_loss=2.349046, val_loss=2.349046, time=0.18s, remaining=0.54min
[NEW BEST] Epoch #28: train_loss=2.344323, val_loss=2.344323, time=0.23s, remaining=0.55min
[NEW BEST] Epoch #29: train_loss=2.301208, val_loss=2.301208, time=0.18s, remaining=0.54min
[NEW BEST] Epoch #30: train_loss=2.270211, val_loss=2.270211, time=0.18s, remaining=0.53min
[NEW BEST] Epoch #31: train_loss=2.247745, val_loss=2.247745, time=0.19s, remaining=0.53min
[NEW BEST] Epoch #32: train_loss=2.211802, val_loss=2.211802, time=0.19s, remaining=0.52min
Epoch #33: train_loss=2.322485, val_loss=2.322485, time=0.20s, remaining=0.52min
[NEW BEST] Epoch #34: train_loss=2.112023, val_loss=2.112023, time=0.18s, remaining=0.52min
Epoch #35: train_loss=2.174331, val_loss=2.174331, time=0.18s, remaining=0.52min
Epoch #36: train_loss=2.123948, val_loss=2.123948, time=0.19s, remaining=0.51min
Epoch #37: train_loss=2.219788, val_loss=2.219788, time=0.18s, remaining=0.51min
[NEW BEST] Epoch #38: train_loss=2.086391, val_loss=2.086391, time=0.21s, remaining=0.50min
Epoch #39: train_loss=2.202730, val_loss=2.202730, time=0.19s, remaining=0.51min
Epoch #40: train_loss=2.138866, val_loss=2.138866, time=0.19s, remaining=0.50min
Epoch #41: train_loss=2.091123, val_loss=2.091123, time=0.18s, remaining=0.50min
Epoch #42: train_loss=2.155247, val_loss=2.155247, time=0.18s, remaining=0.49min
Epoch #43: train_loss=2.087458, val_loss=2.087458, time=0.19s, remaining=0.49min
[NEW BEST] Epoch #44: train_loss=2.001163, val_loss=2.001163, time=0.19s, remaining=0.49min
[NEW BEST] Epoch #45: train_loss=1.972360, val_loss=1.972360, time=0.22s, remaining=0.49min
[NEW BEST] Epoch #46: train_loss=1.938685, val_loss=1.938685, time=0.20s, remaining=0.49min
[NEW BEST] Epoch #47: train_loss=1.749279, val_loss=1.749279, time=0.19s, remaining=0.49min
Epoch #48: train_loss=1.837623, val_loss=1.837623, time=0.20s, remaining=0.49min
Epoch #49: train_loss=1.775812, val_loss=1.775812, time=0.18s, remaining=0.48min
