============================================================
TS-CVA Forecasting Training
============================================================
Dataset: tech
Run directory: training/tech__ts2vec_only_200ep_20251203_104547_20251203_104554
============================================================

Loading Yahoo Finance data...
X_train: (78, 24, 10), y_train: (78, 8, 10)
X_val: (11, 24, 10), y_val: (11, 8, 10)
X_test: (23, 24, 10), y_test: (23, 8, 10)

Sequence length: 24, Prediction length: 8, Features: 10

Training TS-CVA representations...
[NEW BEST] Epoch #0: train_loss=8.674817, val_loss=8.674817, time=0.82s, remaining=2.72min
[NEW BEST] Epoch #1: train_loss=6.561841, val_loss=6.561841, time=0.18s, remaining=1.65min
[NEW BEST] Epoch #2: train_loss=6.423897, val_loss=6.423897, time=0.26s, remaining=1.38min
[NEW BEST] Epoch #3: train_loss=5.542537, val_loss=5.542537, time=0.22s, remaining=1.20min
[NEW BEST] Epoch #4: train_loss=4.392842, val_loss=4.392842, time=0.12s, remaining=1.04min
[NEW BEST] Epoch #5: train_loss=3.610540, val_loss=3.610540, time=0.22s, remaining=0.98min
[NEW BEST] Epoch #6: train_loss=3.037002, val_loss=3.037002, time=0.20s, remaining=0.93min
[NEW BEST] Epoch #7: train_loss=2.866692, val_loss=2.866692, time=0.14s, remaining=0.86min
[NEW BEST] Epoch #8: train_loss=2.755358, val_loss=2.755358, time=0.18s, remaining=0.82min
[NEW BEST] Epoch #9: train_loss=2.578647, val_loss=2.578647, time=0.22s, remaining=0.81min
[NEW BEST] Epoch #10: train_loss=2.464222, val_loss=2.464222, time=0.19s, remaining=0.60min
Epoch #11: train_loss=2.542990, val_loss=2.542990, time=0.12s, remaining=0.58min
Epoch #12: train_loss=2.513270, val_loss=2.513270, time=0.13s, remaining=0.54min
[NEW BEST] Epoch #13: train_loss=2.359681, val_loss=2.359681, time=0.17s, remaining=0.52min
Epoch #14: train_loss=2.400942, val_loss=2.400942, time=0.18s, remaining=0.54min
Epoch #15: train_loss=2.378158, val_loss=2.378158, time=0.13s, remaining=0.51min
Epoch #16: train_loss=2.435862, val_loss=2.435862, time=0.16s, remaining=0.49min
Epoch #17: train_loss=2.429627, val_loss=2.429627, time=0.12s, remaining=0.49min
[NEW BEST] Epoch #18: train_loss=2.329178, val_loss=2.329178, time=0.14s, remaining=0.47min
[NEW BEST] Epoch #19: train_loss=2.315065, val_loss=2.315065, time=0.16s, remaining=0.45min
[NEW BEST] Epoch #20: train_loss=2.285578, val_loss=2.285578, time=0.14s, remaining=0.43min
[NEW BEST] Epoch #21: train_loss=2.273591, val_loss=2.273591, time=0.12s, remaining=0.43min
Epoch #22: train_loss=2.298376, val_loss=2.298376, time=0.12s, remaining=0.43min
[NEW BEST] Epoch #23: train_loss=2.247965, val_loss=2.247965, time=0.14s, remaining=0.41min
Epoch #24: train_loss=2.358622, val_loss=2.358622, time=0.11s, remaining=0.39min
[NEW BEST] Epoch #25: train_loss=2.233205, val_loss=2.233205, time=0.12s, remaining=0.38min
[NEW BEST] Epoch #26: train_loss=2.192284, val_loss=2.192284, time=0.14s, remaining=0.38min
Epoch #27: train_loss=2.234941, val_loss=2.234941, time=0.11s, remaining=0.37min
Epoch #28: train_loss=2.272179, val_loss=2.272179, time=0.17s, remaining=0.38min
Epoch #29: train_loss=2.200113, val_loss=2.200113, time=0.10s, remaining=0.36min
[NEW BEST] Epoch #30: train_loss=2.192144, val_loss=2.192144, time=0.11s, remaining=0.35min
[NEW BEST] Epoch #31: train_loss=2.096916, val_loss=2.096916, time=0.14s, remaining=0.36min
Epoch #32: train_loss=2.117964, val_loss=2.117964, time=0.12s, remaining=0.35min
Epoch #33: train_loss=2.244622, val_loss=2.244622, time=0.12s, remaining=0.35min
[NEW BEST] Epoch #34: train_loss=2.030194, val_loss=2.030194, time=0.11s, remaining=0.34min
Epoch #35: train_loss=2.132947, val_loss=2.132947, time=0.13s, remaining=0.35min
[NEW BEST] Epoch #36: train_loss=2.006949, val_loss=2.006949, time=0.13s, remaining=0.34min
Epoch #37: train_loss=2.141047, val_loss=2.141047, time=0.12s, remaining=0.34min
Epoch #38: train_loss=2.122215, val_loss=2.122215, time=0.13s, remaining=0.33min
Epoch #39: train_loss=2.086642, val_loss=2.086642, time=0.12s, remaining=0.33min
Epoch #40: train_loss=2.134169, val_loss=2.134169, time=0.12s, remaining=0.33min
[NEW BEST] Epoch #41: train_loss=2.006929, val_loss=2.006929, time=0.13s, remaining=0.33min
Epoch #42: train_loss=2.142015, val_loss=2.142015, time=0.13s, remaining=0.33min
Epoch #43: train_loss=2.080143, val_loss=2.080143, time=0.12s, remaining=0.32min
Epoch #44: train_loss=2.007132, val_loss=2.007132, time=0.11s, remaining=0.32min
[NEW BEST] Epoch #45: train_loss=1.897240, val_loss=1.897240, time=0.13s, remaining=0.32min
Epoch #46: train_loss=1.898527, val_loss=1.898527, time=0.12s, remaining=0.31min
Epoch #47: train_loss=1.966011, val_loss=1.966011, time=0.12s, remaining=0.31min
Epoch #48: train_loss=2.031321, val_loss=2.031321, time=0.13s, remaining=0.31min
Epoch #49: train_loss=2.010298, val_loss=2.010298, time=0.12s, remaining=0.31min
Epoch #50: train_loss=1.937633, val_loss=1.937633, time=0.12s, remaining=0.30min
Epoch #51: train_loss=1.997019, val_loss=1.997019, time=0.12s, remaining=0.30min
Epoch #52: train_loss=1.931020, val_loss=1.931020, time=0.11s, remaining=0.29min
Epoch #53: train_loss=2.023436, val_loss=2.023436, time=0.10s, remaining=0.29min
Epoch #54: train_loss=1.954533, val_loss=1.954533, time=0.12s, remaining=0.29min
[NEW BEST] Epoch #55: train_loss=1.845236, val_loss=1.845236, time=0.12s, remaining=0.28min
Epoch #56: train_loss=2.040376, val_loss=2.040376, time=0.10s, remaining=0.27min
Epoch #57: train_loss=2.021018, val_loss=2.021018, time=0.11s, remaining=0.27min
Epoch #58: train_loss=2.044757, val_loss=2.044757, time=0.11s, remaining=0.27min
Epoch #59: train_loss=2.009781, val_loss=2.009781, time=0.12s, remaining=0.26min
Epoch #60: train_loss=1.922171, val_loss=1.922171, time=0.11s, remaining=0.26min
Epoch #61: train_loss=1.936784, val_loss=1.936784, time=0.10s, remaining=0.25min
Epoch #62: train_loss=1.930966, val_loss=1.930966, time=0.11s, remaining=0.25min
Epoch #63: train_loss=1.893526, val_loss=1.893526, time=0.11s, remaining=0.25min
[NEW BEST] Epoch #64: train_loss=1.657554, val_loss=1.657554, time=0.13s, remaining=0.25min
Epoch #65: train_loss=1.789059, val_loss=1.789059, time=0.12s, remaining=0.25min
Epoch #66: train_loss=1.855169, val_loss=1.855169, time=0.13s, remaining=0.25min
Epoch #67: train_loss=1.943281, val_loss=1.943281, time=0.13s, remaining=0.25min
Epoch #68: train_loss=1.777167, val_loss=1.777167, time=0.13s, remaining=0.26min
Epoch #69: train_loss=1.809228, val_loss=1.809228, time=0.13s, remaining=0.26min
Epoch #70: train_loss=1.767541, val_loss=1.767541, time=0.11s, remaining=0.26min
Epoch #71: train_loss=1.689423, val_loss=1.689423, time=0.11s, remaining=0.26min
Epoch #72: train_loss=1.940319, val_loss=1.940319, time=0.10s, remaining=0.25min
